id,name,type,country,age,value
Neuer,Manuel Neuer,3,Deutschland,36,150
Ulreich,Sven Ulreich,3,Deutschland,33,9
Fruechtl,Christian Fruechtl,3,Deutschland,22,6
Hernandez,Lucas Hernandez,3,Frankreich,26,500
Upamecano,Dayot Upamecano,3,Frankreich,23,400
Suele,Niklas Suele,3,Deutschland,26,350
Nianzou,Tanguy Nianzou,3,Frankreich,20,90
Davies,Alphonso Davies,3,Kanada,21,700
Richards,Omar Richards,3,England,24,70
Pavard,Benjamin Pavard,3,Frankreich,26,300
FCB,FC Bayern,2,,,
PROProfil,PRO Profil GmbH,1,Deutschland,,
BMS,BMS Sportconsulting GmbH,1,Deutschland,,
Talcon,Talcon Management GmbH,1,Deutschland,,
Sports360,Sports360 GmbH,1,Deutschland,,
VV,VV Consulting ,1,Monaco,,
ATG,ATG Sports Management Inc,1,Kanada,,
ICMStellar,ICM Stellar Sports,1,England,,
Carmenta,Carmenta,1,Frankreich,,
none,privat beraten,1,,,
