hdredges
from,to,weight
Frodo,Gandalf,2
Frodo,Sam,3
Frodo,Pippin,3
Frodo,Merry,3
Frodo,Aragorn,1
Frodo,Boromir,1
Frodo,Bilbo,3
Sam,Merry,3
Sam,Pippin,3
Sam,Rosie,3
Pippin,Merry,3
Pippin,Gandalf,1
Pippin,Denethor,1
Legolas,Gimli,3
Legolas,Aragorn,2
Legolas,Gandalf,1
Gandalf,Aragorn,2
Gandalf,Denethor,1
Gandalf,Saruman,2
Gandalf,Galadriel,2
Gimli,Aragorn,2
Aragorn,Boromir,1
Aragorn,Eomer,1
Aragorn,Elrond,2
Aragorn,Arwen,3
Boromir,Denethor,3
Boromir,Faramir,2
Denethor,Faramir,2
Saruman,Sauron,2
Saruman,Grima,1
Grima,Theoden,1
Theoden,Eomer,3
Eomer,Eowyn,3
Eowyn,Merry,1
Elrond,Arwen,3
Galadriel,Celeborn,3
Galadriel,Haldir,2
Haldir,Legolas,1
Bilbo,Gandalf,3
Bilbo,Gollum,1
Gollum,Kankra,2
Kankra,Sauron,2
Sauron,Witchking,2
Lurtz,Saruman,2
Treebeard,Merry,1
Treebeard,Pippin,1
